"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/1992","315.81","314.27","316.23","312.39","","0.49%"
"09/22/1992","314.27","319.25","319.48","313.62","","-1.56%"
"09/21/1992","319.25","319.91","319.91","316.99","","-0.21%"
"09/18/1992","319.91","319.24","320.10","317.18","","0.21%"
"09/17/1992","319.24","318.44","321.18","318.24","","0.25%"
"09/16/1992","318.44","319.88","321.42","315.80","","-0.45%"
"09/15/1992","319.88","324.63","324.63","318.11","","-1.46%"
"09/14/1992","324.63","315.19","324.69","315.19","","3.00%"
"09/11/1992","315.19","314.81","316.98","314.30","","0.12%"
"09/10/1992","314.81","309.99","315.00","309.94","","1.55%"
"09/09/1992","309.99","305.77","310.28","305.63","","1.38%"
"09/08/1992","305.77","306.39","306.39","303.79","","-0.20%"
"09/04/1992","306.39","308.17","308.49","305.73","","-0.58%"
"09/03/1992","308.17","306.56","309.96","306.56","","0.53%"
"09/02/1992","306.56","301.97","306.81","301.73","","1.52%"
"09/01/1992","301.97","299.26","302.07","298.11","","0.91%"
"08/31/1992","299.26","299.13","299.76","297.02","","0.04%"
"08/28/1992","299.13","299.46","299.94","298.24","","-0.11%"
"08/27/1992","299.46","296.20","300.85","296.20","","1.10%"
"08/26/1992","296.20","292.08","296.82","292.08","","1.41%"
"08/25/1992","292.08","290.71","292.92","287.63","","0.47%"
"08/24/1992","290.71","295.69","295.69","290.39","","-1.68%"
"08/21/1992","295.69","299.43","301.29","293.95","","-1.25%"
"08/20/1992","299.43","298.31","299.75","297.12","","0.38%"
"08/19/1992","298.31","300.44","301.75","298.17","","-0.71%"
"08/18/1992","300.44","300.38","301.29","298.87","","0.02%"
"08/17/1992","300.38","302.23","302.50","299.89","","-0.61%"
"08/14/1992","302.23","301.27","302.71","300.96","","0.32%"
"08/13/1992","301.27","300.95","302.65","300.82","","0.11%"
"08/12/1992","300.95","302.50","303.63","300.95","","-0.52%"
"08/11/1992","302.51","304.23","305.64","301.28","","-0.57%"
"08/10/1992","304.23","303.31","305.29","302.00","","0.30%"
"08/07/1992","303.31","304.56","307.18","302.27","","-0.41%"
"08/06/1992","304.56","306.58","306.58","302.67","","-0.66%"
"08/05/1992","306.58","311.07","311.07","305.79","","-1.44%"
"08/04/1992","311.07","312.75","313.49","310.39","","-0.54%"
"08/03/1992","312.75","310.89","313.34","309.56","","0.60%"
"07/31/1992","310.89","310.94","311.75","308.89","","-0.02%"
"07/30/1992","310.94","310.11","311.49","308.79","","0.27%"
"07/29/1992","310.11","306.75","310.81","306.75","","1.10%"
"07/28/1992","306.75","301.84","306.78","301.84","","1.63%"
"07/27/1992","301.84","303.43","303.43","301.11","","-0.52%"
"07/24/1992","303.43","302.50","304.52","299.93","","0.31%"
"07/23/1992","302.50","301.17","303.14","300.56","","0.44%"
"07/22/1992","301.17","305.10","305.25","301.05","","-1.29%"
"07/21/1992","305.10","300.45","306.01","300.45","","1.55%"
"07/20/1992","300.44","305.54","305.54","297.59","","-1.67%"
"07/17/1992","305.54","311.28","311.28","303.30","","-1.84%"
"07/16/1992","311.28","309.39","311.28","307.13","","0.61%"
"07/15/1992","309.39","309.25","311.63","308.75","","0.05%"
"07/14/1992","309.25","304.98","309.52","304.98","","1.40%"
"07/13/1992","304.98","302.83","306.06","302.22","","0.71%"
"07/10/1992","302.83","302.19","304.18","300.62","","0.21%"
"07/09/1992","302.19","297.56","303.40","297.56","","1.56%"
"07/08/1992","297.56","296.26","297.68","292.80","","0.44%"
"07/07/1992","296.26","302.40","303.77","295.78","","-2.03%"
"07/06/1992","302.40","300.88","302.40","297.46","","0.51%"
"07/02/1992","300.88","306.03","307.71","299.87","","-1.68%"
"07/01/1992","306.03","301.23","306.52","300.75","","1.59%"
"06/30/1992","301.23","300.80","302.35","299.63","","0.14%"
"06/29/1992","300.80","290.03","300.94","290.03","","3.71%"
"06/26/1992","290.03","291.25","291.25","288.01","","-0.42%"
"06/25/1992","291.25","295.29","296.02","288.48","","-1.37%"
"06/24/1992","295.29","297.44","298.06","295.14","","-0.72%"
"06/23/1992","297.44","295.25","300.10","295.25","","0.74%"
"06/22/1992","295.25","296.87","296.87","290.46","","-0.55%"
"06/19/1992","296.87","291.94","297.07","291.94","","1.69%"
"06/18/1992","291.94","293.40","296.92","290.85","","-0.50%"
"06/17/1992","293.40","299.20","299.32","292.85","","-1.94%"
"06/16/1992","299.20","303.87","304.43","299.20","","-1.54%"
"06/15/1992","303.87","304.35","306.49","302.49","","-0.08%"
"06/12/1992","304.11","302.57","306.36","302.57","","0.51%"
"06/11/1992","302.57","302.60","305.40","301.62","","-0.01%"
"06/10/1992","302.60","304.86","306.10","302.50","","-0.74%"
